
10-05.jpg,4733/2813,ten dollars three cents ,"80.05"
42001.jpg,47397/04/1776,forty five thousand one cents ,"20"
blankcheck.jpg,01005-0/0/,nine hundred and one thousand ,"977,080"
blankcheck2.jpg,2730373797,seventy ,"500"
check_1.png,,ten  ,"11"
check_10.png,,four  ,"444.00"
check_11.png,6-35-65,one  ,"1,610,000.00"
check_12.png,,five  ,"541,"
check_13.png,,eight  ,"010"
check_14.png,41-00800,one  ,""
check_15.png,44,nine  ,"204.00"
check_16.png,102,eight  ,"53070010022"
check_17.png,9613-.,two  ,"257.00"
check_18.png,50,three  ,"2200"
check_19.png,,ten  ,"2570"
check_2.png,,three  ,"227.0"
check_20.png,,five  ,""
check_21.png,,five  ,"55,40,000.00"
check_22.png,5939,eight  ,"2.2"
check_23.png,,seven  ,"761.00"
check_24.png,80,four  ,""
check_25.png,,four  ,"14.400"
check_26.png,544,one  ,"70800"
check_27.png,755,three  ,"5740,600."
check_28.png,,three  ,"305.000"
check_29.png,9000,one  ,"458800.02"
check_3.png,,eight  ,"4570"
check_30.png,,eight  ,"20000."
check_31.png,4746.,four  ,"71,28295080"
check_32.png,,three  ,"512"
check_33.png,,nine  ,"416."
check_34.png,4-4-6,eight  ,"660,200"
check_35.png,,five  ,"51,02000"
check_36.png,00000010,2,seven  ,"7,202,60000"
check_37.png,,two  ,"338"
check_38.png,,one  ,"43319.00"
check_39.png,14-6,six  ,""
check_4.png,,two  ,"265.00"
check_40.png,,five  ,"51,00020"
check_41.png,5556,nine  ,"917.02"
check_42.png,4013,-5,two  ,"22,200.00"
check_43.png,,seven  ,"1607"
check_44.png,,one  ,"110.00"
check_45.png,,six  ,"6,90,000.20"
check_46.png,,three  ,"665.2"
check_47.png,6-11-26,,"060,000.00"
check_48.png,671,five  ,"5,200,000.00"
check_49.png,,seven  ,"7,98000.00"
check_5.png,2-22-704,nine  ,"432,.00"
check_50.png,41-14-34,four  ,""
check_51.png,,one  ,"179000"
check_52.png,,five  ,"6.250,02080"
check_53.png,,five  ,"220,000.02"
check_54.png,,three  ,"500"
check_55.png,0526-3000,one  ,"426"
check_56.png,001,four  ,"10.22"
check_57.png,5056,three  ,"5,510,000.00"
check_58.png,65,seven  ,"77,20,0.05"
check_59.png,,,"76700."
check_6.png,241-410,six  ,"6,022,80.0"
check_60.png,,five  ,"53900"
check_61.png,00,six  ,"40.0"
check_62.png,,five  ,"560.00"
check_63.png,344,six  ,"656090080"
check_64.png,5-26-4,seven  ,"71,510,000.0"
check_65.png,621-64,four  ,"404160"
check_66.png,54-60,four  ,"5100"
check_67.png,12-57,nine  ,"90200"
check_68.png,4-6-67,six  ,"643.02"
check_69.png,,eight  ,"100,000.00"
check_7.png,,seven  ,"4,620,200.00"
check_70.png,,five  ,"300"
check_8.png,,eight  ,"37.00"
check_9.png,4-2095,five  ,"56650,000.00"
five.jpg,4732/24/24,five  ,""
image_11.jpg,06/20/2019,four  ,"4422"
image_12.jpg,,,""
image_13.jpg,,three  ,"-"
image_14.jpg,080121/2030,,"/28202"
image_15.jpg,0704/2020,one  ,"800200"
